id,order_id,product_id,quantity,unit_price
1,25,45,2,12.23
2,23,28,3,12.18
3,505,7,5,79.86
4,365,15,2,59.35
5,635,45,5,13.06
6,564,3,1,111.71
7,668,18,5,115.89
8,180,3,2,116.01
9,317,21,1,97.11
10,453,38,2,182.33
11,497,46,4,76.68
12,671,20,2,7.79
13,687,37,4,95.52
14,524,35,3,143.06
15,196,48,2,14.86
16,200,45,1,13.12
17,489,23,1,29.33
18,419,15,1,54.28
19,470,50,5,81.93
20,763,26,3,66.02
21,201,18,4,114.53
22,474,23,5,33.62
23,629,28,2,12.4
24,698,43,4,85.32
25,680,40,3,28.81
26,83,46,1,66.84
27,540,10,4,19.62
28,229,41,2,1029.78
29,591,21,3,84.58
30,447,1,3,895.78
31,417,49,3,840.88
32,668,6,2,188.64
33,792,36,5,34.03
34,430,7,1,69.8
35,234,36,1,34.49
36,428,21,4,83.2
37,168,27,4,44.64
38,251,47,5,13.4
39,293,16,5,26.14
40,497,44,4,20.18
41,392,18,3,110.4
42,293,10,1,17.95
43,411,18,4,110.98
44,664,5,3,79.62
45,51,16,4,26.44
46,471,13,4,6.97
47,180,20,1,8.28
48,210,22,5,192.7
49,266,22,4,191.26
50,441,42,5,20.44
51,535,21,5,96.9
52,550,13,4,7.22
53,503,26,3,69.06
54,447,45,4,14.11
55,183,16,3,25.52
56,385,26,3,67.0
57,223,37,2,94.24
58,407,35,2,150.1
59,109,36,1,36.45
60,182,30,2,169.49
61,299,19,1,316.84
62,649,27,4,40.21
63,733,20,2,7.41
64,475,10,4,19.86
65,389,5,4,89.56
66,252,31,5,66.99
67,259,33,4,770.88
68,95,24,5,8.88
69,216,6,1,199.09
70,1,43,3,86.52
71,7,40,1,27.76
72,10,42,4,23.36
73,741,22,4,183.97
74,320,7,3,71.41
75,560,48,5,14.32
76,707,45,5,12.52
77,766,24,4,8.7
78,482,44,5,21.98
79,292,10,3,20.5
80,363,31,1,65.83
81,610,6,1,201.02
82,42,47,2,12.26
83,22,22,4,205.58
84,672,34,4,175.96
85,254,7,4,77.47
86,296,29,3,88.12
87,761,3,1,100.07
88,20,22,1,202.17
89,529,11,2,88.35
90,88,36,2,33.03
91,432,28,4,11.53
92,504,26,2,67.84
93,769,43,4,89.92
94,182,48,5,15.07
95,482,29,5,93.69
96,583,1,2,860.76
97,624,49,1,910.13
98,794,35,2,142.63
99,312,13,4,6.98
100,441,43,4,91.88
101,339,41,3,1006.85
102,225,40,4,27.87
103,781,23,3,33.13
104,562,40,2,28.88
105,545,46,3,76.56
106,101,38,1,180.06
107,258,21,1,86.51
108,541,8,2,5.59
109,669,10,5,18.63
110,279,39,2,73.26
111,544,28,2,12.03
112,691,35,2,147.11
113,588,32,3,32.25
114,418,21,4,92.09
115,474,23,1,31.3
116,789,13,4,8.01
117,670,33,4,754.19
118,342,32,4,35.42
119,268,29,4,89.66
120,41,37,1,97.31
121,308,15,3,51.5
122,338,15,5,53.81
123,263,50,4,77.12
124,751,50,4,76.92
125,350,8,5,5.35
126,644,50,5,80.3
127,288,24,5,9.21
128,401,3,4,109.28
129,701,28,1,12.51
130,6,42,2,21.01
131,651,3,4,104.29
132,350,6,4,202.07
133,120,8,2,5.44
134,332,48,5,14.62
135,73,46,5,73.24
136,547,11,5,82.97
137,184,14,2,65.69
138,124,37,3,93.34
139,422,39,5,68.49
140,142,46,3,69.25
141,123,18,5,123.74
142,755,44,1,20.06
143,503,49,4,959.9
144,274,18,2,118.46
145,400,9,2,577.04
146,347,21,2,94.18
147,86,44,4,21.28
148,694,37,3,94.78
149,231,25,4,1238.55
150,96,50,1,75.1
151,524,48,3,14.64
152,762,24,4,9.39
153,752,21,5,83.06
154,162,50,1,79.16
155,29,30,3,180.92
156,276,35,4,139.14
157,392,28,2,12.04
158,61,21,3,87.97
159,283,37,2,93.85
160,14,32,3,36.44
161,406,49,1,832.68
162,344,41,4,913.5
163,437,11,4,87.5
164,422,28,2,13.02
165,38,9,3,578.3
166,21,18,1,117.58
167,402,17,1,334.81
168,561,42,2,20.14
169,585,41,3,1027.58
170,143,49,2,888.54
171,251,6,1,175.34
172,689,31,1,64.03
173,35,15,5,57.35
174,136,1,1,932.55
175,444,8,4,5.89
176,450,31,1,65.1
177,501,6,1,178.5
178,609,24,3,8.24
179,611,50,2,78.06
180,498,44,2,19.83
181,113,37,1,94.51
182,346,11,4,86.0
183,261,14,2,66.85
184,115,40,4,29.09
185,129,6,1,179.64
186,715,8,5,5.92
187,48,23,4,30.43
188,115,9,2,590.02
189,657,6,2,192.42
190,452,39,5,69.86
191,105,45,1,13.86
192,554,43,3,87.1
193,348,39,5,68.73
194,21,26,3,73.17
195,111,16,4,25.57
196,282,16,4,26.63
197,737,5,5,88.19
198,798,1,3,967.48
199,296,9,4,647.97
200,516,37,4,90.83
201,547,44,2,22.23
202,726,50,1,70.32
203,749,5,1,79.76
204,430,3,1,116.36
205,161,26,5,69.0
206,574,46,5,74.8
207,367,28,4,11.24
208,627,35,5,148.55
209,433,18,1,111.17
210,130,33,2,824.34
211,599,10,5,18.44
212,619,38,1,169.78
213,259,28,2,11.19
214,784,6,4,178.89
215,203,40,5,25.5
216,3,43,2,85.82
217,37,46,2,74.04
218,335,11,4,94.6
219,339,34,5,188.68
220,83,47,3,11.89
221,608,9,3,635.28
222,52,8,1,5.55
223,48,28,3,12.1
224,527,17,5,348.99
225,330,32,4,34.31
226,769,4,4,19.2
227,70,11,3,83.23
228,390,50,1,81.18
229,730,44,1,20.38
230,438,33,1,708.87
231,733,1,2,837.33
232,590,24,4,9.35
233,797,12,1,31.98
234,15,46,4,68.49
235,89,16,4,27.8
236,634,21,3,95.12
237,49,37,3,87.12
238,56,44,1,20.21
239,81,34,1,193.69
240,52,5,4,87.89
241,364,50,3,74.17
242,212,36,4,31.25
243,273,13,3,7.52
244,190,20,5,7.39
245,322,24,5,9.42
246,335,50,2,79.18
247,259,35,2,137.55
248,615,27,1,40.86
249,570,23,1,33.67
250,454,1,4,955.04
251,644,47,3,11.76
252,647,34,2,178.06
253,284,4,2,18.76
254,26,6,1,203.8
255,757,34,4,186.28
256,612,24,4,9.42
257,124,6,5,178.26
258,744,9,4,569.95
259,215,37,1,91.87
260,481,9,2,591.48
261,506,21,4,93.29
262,97,48,3,13.77
263,579,18,2,106.8
264,80,13,2,7.78
265,345,38,1,165.38
266,167,11,4,87.64
267,553,27,1,42.96
268,118,50,2,75.71
269,682,30,3,180.98
270,218,6,2,200.29
271,773,20,5,7.14
272,467,21,2,84.36
273,552,16,3,25.61
274,304,4,3,17.43
275,130,12,1,34.03
276,66,29,5,98.59
277,603,16,1,25.89
278,72,9,1,563.71
279,213,50,2,71.73
280,92,26,3,73.63
281,575,42,1,22.01
282,106,17,1,315.4
283,552,5,2,88.38
284,277,29,2,88.5
285,628,22,1,181.95
286,193,30,1,161.98
287,406,37,4,97.7
288,604,26,4,66.02
289,645,44,4,20.19
290,538,14,2,60.3
291,740,29,2,87.62
292,70,40,5,26.35
293,609,19,4,296.95
294,210,36,4,31.54
295,575,18,4,107.96
296,738,13,5,7.14
297,598,35,1,157.38
298,740,46,3,71.46
299,457,32,3,36.54
300,245,33,3,751.61
301,749,12,1,30.78
302,171,15,1,59.3
303,683,50,3,70.84
304,674,31,5,66.52
305,166,38,2,188.63
306,471,7,2,76.68
307,431,18,5,120.59
308,2,48,1,14.8
309,283,15,5,58.85
310,434,25,3,1423.98
311,12,12,2,30.35
312,424,21,3,96.41
313,237,2,3,19.48
314,84,37,2,93.8
315,678,13,4,7.5
316,106,12,4,29.33
317,254,4,2,18.44
318,556,2,5,18.09
319,225,22,5,187.01
320,28,9,3,633.69
321,409,21,1,83.34
322,78,38,2,182.96
323,286,34,3,193.88
324,122,24,4,8.87
325,550,22,3,190.87
326,778,11,4,92.3
327,22,32,3,32.44
328,697,36,5,35.54
329,222,15,5,58.56
330,227,25,3,1380.58
331,47,19,2,285.51
332,482,1,5,887.99
333,12,50,5,70.52
334,470,39,3,77.32
335,275,40,2,28.1
336,534,7,4,70.42
337,30,48,1,13.59
338,191,21,2,92.34
339,322,6,3,189.12
340,382,17,2,328.03
341,434,5,3,79.69
342,520,7,1,69.3
343,315,29,4,101.99
344,491,27,4,45.35
345,551,23,5,30.74
346,760,31,5,69.76
347,789,44,2,20.15
348,485,5,1,80.2
349,554,21,3,96.96
350,504,5,3,78.53
351,292,25,2,1380.15
352,638,36,1,33.06
353,130,40,4,28.39
354,276,28,2,12.26
355,734,28,2,11.18
356,256,22,2,211.64
357,204,27,5,44.24
358,345,47,5,12.09
359,531,19,3,288.43
360,558,4,4,18.35
361,664,32,2,31.78
362,519,1,4,843.44
363,485,43,5,91.17
364,741,7,1,71.22
365,114,41,3,1067.94
366,315,31,1,65.97
367,189,26,4,71.35
368,28,43,3,85.4
369,414,35,4,138.36
370,705,25,3,1262.51
371,742,3,3,107.41
372,686,17,2,360.61
373,361,37,1,87.6
374,280,45,1,12.24
375,636,23,5,30.94
376,770,49,5,859.14
377,314,4,4,19.08
378,110,27,5,44.0
379,104,31,5,72.3
380,61,31,3,63.44
381,615,46,1,71.72
382,245,34,5,185.6
383,82,40,2,25.79
384,379,49,4,851.18
385,395,11,2,92.53
386,728,9,1,604.55
387,399,44,4,20.29
