id,customer_id,order_date,status
1,164,2025-12-28,delivered
2,71,2025-03-26,delivered
3,189,2025-11-04,shipped
4,140,2024-09-08,shipped
5,9,2024-01-16,delivered
6,60,2025-12-25,shipped
7,144,2024-11-21,processing
8,180,2026-07-30,delivered
9,151,2024-11-30,pending
10,2,2025-08-11,shipped
11,88,2025-03-31,delivered
12,196,2025-12-08,delivered
13,98,2026-07-25,delivered
14,89,2025-12-10,delivered
15,12,2026-05-26,delivered
16,32,2025-08-20,delivered
17,76,2026-09-15,pending
18,93,2026-09-08,delivered
19,18,2024-12-11,shipped
20,198,2026-01-11,cancelled
21,60,2024-11-06,delivered
22,117,2026-04-30,delivered
23,91,2025-08-11,shipped
24,180,2026-02-02,shipped
25,44,2025-12-14,processing
26,42,2026-07-22,delivered
27,164,2026-08-13,delivered
28,84,2025-11-09,delivered
29,9,2025-08-23,delivered
30,17,2026-02-17,cancelled
31,146,2025-10-29,delivered
32,128,2026-03-20,pending
33,165,2026-05-30,delivered
34,36,2025-11-25,processing
35,138,2026-07-04,processing
36,110,2026-09-05,shipped
37,93,2026-08-17,cancelled
38,36,2026-08-21,delivered
39,194,2025-07-11,pending
40,40,2025-08-22,processing
41,109,2026-08-12,delivered
42,98,2026-09-10,delivered
43,142,2026-06-27,shipped
44,30,2026-08-03,processing
45,197,2026-05-10,delivered
46,76,2026-09-03,delivered
47,1,2026-08-02,pending
48,68,2026-08-19,processing
49,130,2025-10-16,pending
50,77,2026-06-18,delivered
51,51,2025-08-29,delivered
52,42,2026-08-01,cancelled
53,136,2026-05-22,shipped
54,126,2026-09-11,delivered
55,93,2026-08-22,delivered
56,62,2025-07-08,delivered
57,125,2025-11-17,cancelled
58,137,2026-05-06,delivered
59,122,2025-12-19,delivered
60,136,2026-09-10,shipped
61,55,2024-12-22,processing
62,103,2025-12-08,shipped
63,113,2026-05-13,delivered
64,64,2025-11-03,delivered
65,6,2025-12-27,shipped
66,151,2024-10-02,delivered
67,182,2026-09-14,delivered
68,18,2024-11-27,pending
69,19,2026-07-19,delivered
70,172,2026-09-15,delivered
71,34,2026-08-05,shipped
72,63,2026-09-07,pending
73,49,2025-06-26,delivered
74,111,2025-10-18,delivered
75,120,2026-09-12,processing
76,173,2026-02-10,delivered
77,187,2026-04-09,pending
78,28,2025-12-23,delivered
79,138,2026-08-20,delivered
80,47,2024-09-08,delivered
81,20,2026-06-22,pending
82,141,2025-06-18,delivered
83,139,2026-05-02,cancelled
84,193,2026-07-28,delivered
85,125,2026-06-16,delivered
86,103,2026-08-02,delivered
87,98,2026-07-13,cancelled
88,68,2026-07-03,delivered
89,179,2026-08-27,shipped
90,125,2025-12-31,delivered
91,56,2026-03-27,shipped
92,139,2026-05-14,processing
93,15,2025-11-18,shipped
94,129,2026-07-22,pending
95,41,2025-07-22,cancelled
96,21,2025-04-19,delivered
97,18,2025-06-23,delivered
98,146,2025-08-20,shipped
99,11,2026-06-17,delivered
100,169,2026-03-08,cancelled
101,53,2026-05-06,processing
102,62,2026-01-15,delivered
103,172,2026-09-12,delivered
104,193,2026-07-07,delivered
105,160,2024-04-19,delivered
106,55,2026-09-08,delivered
107,90,2026-08-24,delivered
108,63,2026-09-03,delivered
109,113,2026-05-27,processing
110,157,2026-08-04,delivered
111,142,2026-08-03,cancelled
112,27,2025-01-20,delivered
113,28,2026-09-02,shipped
114,70,2026-04-23,shipped
115,184,2026-05-15,delivered
116,163,2026-08-28,delivered
117,126,2026-09-13,cancelled
118,14,2025-05-28,shipped
119,71,2024-02-09,delivered
120,198,2025-10-21,shipped
121,68,2025-09-06,processing
122,142,2026-08-19,shipped
123,29,2026-06-23,cancelled
124,177,2026-05-22,delivered
125,95,2026-04-15,shipped
126,111,2025-02-28,delivered
127,94,2026-09-04,cancelled
128,11,2026-02-03,delivered
129,64,2025-07-01,delivered
130,144,2026-01-20,cancelled
131,192,2026-03-17,cancelled
132,61,2026-07-04,delivered
133,46,2026-02-05,delivered
134,189,2026-03-02,processing
135,106,2026-08-19,pending
136,64,2025-12-16,delivered
137,180,2026-02-21,delivered
138,10,2026-09-15,delivered
139,52,2026-08-05,cancelled
140,90,2025-01-11,pending
141,59,2026-07-04,delivered
142,50,2025-11-18,delivered
143,18,2025-08-07,delivered
144,131,2026-01-17,shipped
145,138,2026-07-21,cancelled
146,30,2025-10-25,delivered
147,68,2025-05-03,delivered
148,112,2025-10-17,processing
149,81,2025-03-15,shipped
150,131,2025-08-25,delivered
151,148,2026-03-28,delivered
152,182,2026-08-20,delivered
153,138,2026-06-17,delivered
154,18,2026-09-06,cancelled
155,160,2025-07-01,shipped
156,32,2026-08-05,cancelled
157,130,2026-01-28,shipped
158,84,2026-05-06,shipped
159,142,2026-07-12,delivered
160,171,2026-03-21,shipped
161,45,2026-07-19,delivered
162,1,2026-04-17,delivered
163,111,2026-06-06,shipped
164,83,2026-08-22,delivered
165,173,2026-04-10,delivered
166,189,2025-12-08,shipped
167,73,2026-01-20,shipped
168,159,2025-12-13,delivered
169,193,2026-07-28,shipped
170,58,2026-02-01,delivered
171,12,2025-01-14,cancelled
172,157,2025-04-24,delivered
173,162,2026-03-23,processing
174,99,2026-08-27,delivered
175,38,2026-04-02,shipped
176,193,2026-07-11,processing
177,57,2026-03-20,pending
178,179,2026-08-08,delivered
179,143,2026-06-03,cancelled
180,32,2025-11-08,delivered
181,119,2026-08-16,delivered
182,144,2025-07-21,cancelled
183,114,2025-11-28,pending
184,130,2026-03-29,pending
185,141,2025-12-13,pending
186,191,2026-07-17,delivered
187,193,2026-07-29,pending
188,71,2026-07-30,shipped
189,71,2026-04-29,delivered
190,74,2025-01-17,delivered
191,82,2024-03-04,delivered
192,60,2025-08-22,shipped
193,181,2025-07-30,delivered
194,105,2026-02-07,delivered
195,107,2024-11-22,delivered
196,108,2025-06-29,cancelled
197,150,2026-04-25,pending
198,196,2026-08-10,delivered
199,2,2026-02-24,delivered
200,100,2026-07-26,pending
201,108,2025-11-29,processing
202,140,2026-09-08,shipped
203,57,2026-06-07,delivered
204,112,2025-12-28,delivered
205,87,2026-07-08,shipped
206,104,2026-01-31,delivered
207,120,2026-09-14,delivered
208,160,2023-11-22,cancelled
209,152,2026-07-17,shipped
210,22,2026-06-04,delivered
211,119,2026-04-14,delivered
212,98,2026-08-23,delivered
