id,name,category,unit_price
1,Purpose Brother (Electronics),Electronics,977.17
2,Ago Site (Clothing),Clothing,19.63
3,Face Election (Home & Kitchen),Home & Kitchen,117.26
4,Dog Chair (Books),Books,19.61
5,Since Blue (Toys),Toys,89.69
6,Require Sit (Sports),Sports,206.24
7,Wait Offer (Beauty),Beauty,80.84
8,Begin Performance (Grocery),Grocery,6.17
9,Knowledge Almost (Electronics),Electronics,661.79
10,All Better (Clothing),Clothing,20.51
11,Discover Early (Home & Kitchen),Home & Kitchen,95.27
12,Mouth Play (Books),Books,34.28
13,Agreement Option (Toys),Toys,8.05
14,Decide Sense (Sports),Sports,67.66
15,Rate Science (Beauty),Beauty,60.24
16,Offer Kind (Grocery),Grocery,28.16
17,Discussion List (Electronics),Electronics,369.64
18,Perform Fall (Clothing),Clothing,124.01
19,Table True (Home & Kitchen),Home & Kitchen,325.68
20,According Song (Books),Books,8.34
21,Sure Collection (Toys),Toys,97.67
22,Save Knowledge (Sports),Sports,212.46
23,Grow Fall (Beauty),Beauty,33.92
24,Clearly Dinner (Grocery),Grocery,9.46
25,Source Great (Electronics),Electronics,1437.96
26,Blue Best (Clothing),Clothing,77.27
27,Husband Bill (Home & Kitchen),Home & Kitchen,46.17
28,Her Throw (Books),Books,13.03
29,Guy Pm (Toys),Toys,102.46
30,Everything Surface (Sports),Sports,185.08
31,Animal Show (Beauty),Beauty,73.61
32,Machine Not (Grocery),Grocery,37.03
33,Capital Win (Electronics),Electronics,827.53
34,Human Bar (Clothing),Clothing,195.03
35,Old Finally (Home & Kitchen),Home & Kitchen,157.63
36,Themselves Production (Books),Books,36.71
37,Present Value (Toys),Toys,100.38
38,Training High (Sports),Sports,189.37
39,Participant Dark (Beauty),Beauty,78.25
40,Sea Available (Grocery),Grocery,29.71
41,Answer Recently (Electronics),Electronics,1071.63
42,Drive Spring (Clothing),Clothing,23.48
43,Figure Base (Home & Kitchen),Home & Kitchen,98.88
44,Top Early (Books),Books,23.05
45,Trial Blood (Toys),Toys,14.18
46,Husband Fall (Sports),Sports,77.51
47,Long Prove (Beauty),Beauty,13.59
48,They His (Grocery),Grocery,15.34
49,Commercial Hospital (Electronics),Electronics,971.74
50,Hear Determine (Clothing),Clothing,82.49
